$ps -aux
USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root        205  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        206  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        207  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        208  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        209  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        210  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        211  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        212  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        213  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        214  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        215  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        216  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        217  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        218  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        219  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        220  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        221  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        222  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        223  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        224  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        225  0.0  0.0      0     0 ?        S    Th0112   0:00 [scs
root        226  0.0  0.0      0     0 ?        S<   Th0112   0:00 [scs
root        254  0.0  0.0      0     0 ?        S<   Th0112   0:00 [ttm
root        255  0.0  0.0      0     0 ?        S<   Th0112   0:00 [bio
root        272  0.0  0.0      0     0 ?        S<   Th0112   0:00 [bio
root        279  0.0  0.0      0     0 ?        S<   Th0112   0:01 [kwo
root        317  0.0  0.0      0     0 ?        S    Th0112   0:00 [jbd
root        318  0.0  0.0      0     0 ?        S<   Th0112   0:00 [ext
root        350  0.0  0.1  28432  1488 ?        Ss   Th0112   0:00 /lib
root        369  0.0  0.1  46408  1328 ?        Ss   Th0112   0:01 /lib
systemd+    420  0.0  0.0 102384   472 ?        Ssl  Th0112   0:00 /lib
root        427  0.0  0.0      0     0 ?        S    Th0112   0:00 [kwo
root        529  0.0  0.0      0     0 ?        S<   Th0112   0:00 [nfi
syslog      804  0.0  0.0 256396   444 ?        Ssl  Th0112   0:00 /usr
message+    805  0.0  0.2  44232  2732 ?        Ss   Th0112   0:00 /usr
